strainID	genus	species	04ANA	04ANB	04ANC	04AYA	04AYB	04AYC	04CNA	04CNB	04CNC	04CYA	04CYB	04CYC	41ANA	41ANB	41ANC	41AYA	41AYB	41AYC	41CNA	41CNB	41CNC	41CYA	41CYB	41CYC	45ANA	45ANB	45ANC	45AYA	45AYB	45AYC	45CNA	45CNB	45CNC	45CYA	45CYB	45CYC
HAMBI-0097	Acinetobacter	lwoffii	234	360	521	3	139	10	249	377	459	2	205	3	65	78	96	0	0	0	162	249	198	0	1	0	14	28	19	0	0	0	84	75	34	0	0	0
HAMBI-0105	Agrobacterium	tumefaciens	602	366	269	2578	1051	2399	295	1294	230	1286	1041	1492	915	1597	1504	3156	343	782	767	1995	1079	1118	1408	1529	994	1783	1673	327	189	825	1175	1693	2078	1548	1480	1255
HAMBI-0216	Azorhizobium	caulinodans	3	3	3	240	2	21	3	7	0	17	2	5	13	16	13	321	6	24	8	9	35	8	6	36	4	4	5	20	1	11	13	13	47	8	7	43
HAMBI-0262	Brevundimonas	bullata	72	95	118	10	34	3	68	146	75	6	24	4	13	17	26	3	0	0	21	41	31	0	0	0	3	2	2	0	0	0	10	20	5	0	0	0
HAMBI-0403	Comamonas	testosteroni	4051	5879	6593	133	3519	57	4871	3820	4258	266	4098	301	740	411	565	131	17	26	804	738	859	103	132	51	501	151	190	24	16	55	617	1091	812	99	286	183
HAMBI-1279	Hafnia	alvei	2144	2327	2398	429	1626	248	1979	1584	1802	226	1600	768	1622	1417	1520	20	2	1	2300	2239	1755	16	13	20	391	422	376	2	0	3	1422	1287	1618	6	0	1
HAMBI-1287	Citrobacter	koseri	143788	174422	165875	90804	144301	60323	126762	95615	91511	33232	135664	93913	33679	28133	43982	19676	1690	2524	47002	51734	44631	5314	6101	5780	19271	21533	22261	11557	18305	32064	57147	64977	95566	36139	19087	46129
HAMBI-1292	Morganella	morganii	11380	15316	13925	1951	16660	1936	12942	9986	9200	2199	16065	7266	103	84	117	54	12	9	393	353	183	26	68	23	26	16	15	7	1	1	137	151	117	17	24	26
HAMBI-1299	Kluyvera	intermedia	41496	48424	50285	3356	28357	1022	52450	36143	32146	3403	30868	4618	3771	3069	4543	71	16	3	9463	10513	8677	50	21	41	627	786	788	5	2	2	4488	5098	6136	16	24	17
HAMBI-1842	Sphingobium	yanoikuyae	1	2	3	0	0	0	1	2	4	0	0	0	0	1	1	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
HAMBI-1874	Sphingobacterium	multivorum	8	24	26	0	10	0	10	15	17	0	2	0	1	11	2	184	82	43	5	11	5	58	102	152	6	0	1	318	655	1041	3	3	3	1098	448	1918
HAMBI-1896	Sphingobacterium	spiritivorum	7	14	17	1309	29	108	24	24	14	931	31	1476	1427	1175	1513	1068	406	297	2642	2170	1428	377	795	469	2193	2549	2311	977	1604	2256	6034	6936	9892	2783	1044	3716
HAMBI-1923	Myroides	odoratus	1503	2369	2967	2215	4562	1156	2172	2891	1649	1430	6906	1357	2845	2585	2294	2520	282	210	3353	3787	2426	779	785	500	1162	1328	1149	388	433	636	2483	3476	3805	1146	795	1203
HAMBI-1966	Chitinophaga	filiformis	0	2	2	0	0	0	1	2	1	0	0	0	2	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
HAMBI-1972	Aeromonas	caviae	98131	125267	133481	514	39317	202	89733	82636	78348	276	34251	223	18511	16132	23568	115	43	27	29509	31685	29989	30	29	22	4502	5220	4476	299	105	373	15398	17783	24418	459	78	1181
HAMBI-1988	Chitinophaga	sancti	4	5	3	0	2	1	5	7	8	0	2	0	2	0	2	0	0	0	0	3	4	0	0	0	0	1	0	0	0	0	2	3	3	0	0	0
HAMBI-1992	Phyllobacterium	myrsinacearum	266	287	325	427	219	604	277	153	180	221	177	550	490	356	439	67	149	80	788	577	661	128	102	145	291	240	322	61	87	223	387	823	1336	471	465	264
HAMBI-2159	Paraburkholderia	caryophylli	45	86	73	5	14	4	61	61	48	1	20	9	17	21	13	13	0	1	23	32	25	2	1	1	2	10	7	11	4	10	22	27	27	10	7	6
