sample	strainID	genus	species	count
04ANA	HAMBI-0097	Acinetobacter	lwoffii	234
04ANA	HAMBI-0105	Agrobacterium	tumefaciens	602
04ANA	HAMBI-0216	Azorhizobium	caulinodans	3
04ANA	HAMBI-0262	Brevundimonas	bullata	72
04ANA	HAMBI-0403	Comamonas	testosteroni	4051
04ANA	HAMBI-1279	Hafnia	alvei	2144
04ANA	HAMBI-1287	Citrobacter	koseri	143788
04ANA	HAMBI-1292	Morganella	morganii	11380
04ANA	HAMBI-1299	Kluyvera	intermedia	41496
04ANA	HAMBI-1842	Sphingobium	yanoikuyae	1
04ANA	HAMBI-1874	Sphingobacterium	multivorum	8
04ANA	HAMBI-1896	Sphingobacterium	spiritivorum	7
04ANA	HAMBI-1923	Myroides	odoratus	1503
04ANA	HAMBI-1966	Chitinophaga	filiformis	0
04ANA	HAMBI-1972	Aeromonas	caviae	98131
04ANA	HAMBI-1988	Chitinophaga	sancti	4
04ANA	HAMBI-1992	Phyllobacterium	myrsinacearum	266
04ANA	HAMBI-2159	Paraburkholderia	caryophylli	45
04ANA	HAMBI-2160	Bordetella	avium	1268
04ANA	HAMBI-2164	Cupriavidus	necator	354
04ANA	HAMBI-2443	Paracoccus	denitrificans	0
04ANA	HAMBI-2467	Thermomonas	haemolytica	0
04ANA	HAMBI-2494	Paraburkholderia	kururiensis	422
04ANA	HAMBI-2659	Stenotrophomonas	maltophilia	4444
04ANA	HAMBI-2792	Moraxella	canis	22
04ANA	HAMBI-3031	Niabella	yanshanensis	0
04ANA	HAMBI-3172	Azospirillum	brasilense	146
04ANA	HAMBI-3237	Microvirga	lotononidis	10
04ANA	JE2571RP4	Escherichia	coli	71
04ANA	PsFluSBW25	Pseudomonas	fluorescens	5955
04ANB	HAMBI-0097	Acinetobacter	lwoffii	360
04ANB	HAMBI-0105	Agrobacterium	tumefaciens	366
04ANB	HAMBI-0216	Azorhizobium	caulinodans	3
04ANB	HAMBI-0262	Brevundimonas	bullata	95
04ANB	HAMBI-0403	Comamonas	testosteroni	5879
04ANB	HAMBI-1279	Hafnia	alvei	2327
04ANB	HAMBI-1287	Citrobacter	koseri	174422
04ANB	HAMBI-1292	Morganella	morganii	15316
04ANB	HAMBI-1299	Kluyvera	intermedia	48424
04ANB	HAMBI-1842	Sphingobium	yanoikuyae	2
04ANB	HAMBI-1874	Sphingobacterium	multivorum	24
