strainID	genus	species
HAMBI-0097	Acinetobacter	lwoffii
HAMBI-0105	Agrobacterium	tumefaciens
HAMBI-0216	Azorhizobium	caulinodans
HAMBI-0262	Brevundimonas	bullata
HAMBI-0403	Comamonas	testosteroni
HAMBI-1279	Hafnia	alvei
HAMBI-1287	Citrobacter	koseri
HAMBI-1292	Morganella	morganii
HAMBI-1299	Kluyvera	intermedia
HAMBI-1842	Sphingobium	yanoikuyae
HAMBI-1874	Sphingobacterium	multivorum
HAMBI-1896	Sphingobacterium	spiritivorum
HAMBI-1923	Myroides	odoratus
HAMBI-1966	Chitinophaga	filiformis
HAMBI-1972	Aeromonas	caviae
HAMBI-1988	Chitinophaga	sancti
HAMBI-1992	Phyllobacterium	myrsinacearum
HAMBI-2159	Paraburkholderia	caryophylli
HAMBI-2160	Bordetella	avium
HAMBI-2164	Cupriavidus	necator
HAMBI-2443	Paracoccus	denitrificans
HAMBI-2467	Thermomonas	haemolytica
HAMBI-2494	Paraburkholderia	kururiensis
HAMBI-2659	Stenotrophomonas	maltophilia
HAMBI-2792	Moraxella	canis
HAMBI-3031	Niabella	yanshanensis
HAMBI-3172	Azospirillum	brasilense
HAMBI-3237	Microvirga	lotononidis
JE2571RP4	Escherichia	coli
PsFluSBW25	Pseudomonas	fluorescens
