# note that the rRNA and mRNA counts here are derived from the perfect matches with bbmap mapping in the first filtering round. 
# this does not include imperfect matches that were identified in the second round of mapping

sample_old	sample	BioProject	BioSample	Experiment	Bases	raw_reads	qc_reads	bbmap_round1_mrna	bbmap_round1_rrna
A_01_d4	04ANA	PRJNA818876	SAMN26937399	SRX14607436	36542626650	242004150	224706712	74310002	150396710
A_02_d4	04ANB	PRJNA818876	SAMN26937400	SRX14607437	32279469622	213771322	198812138	69910578	128901560
A_03_d4	04ANC	PRJNA818876	SAMN26937401	SRX14607448	34091259430	225769930	206651724	73473594	133178130
A1_CO1_d4	04AYA	PRJNA818876	SAMN26937402	SRX14607452	12661431238	83850538	78844786	18141904	60702882
A2_CO2_d4	04AYB	PRJNA818876	SAMN26937403	SRX14607453	19849764192	66509592	63717572	21287628	42429944
A3_CO3_d4	04AYC	PRJNA818876	SAMN26937404	SRX14607454	281785630	1866130	1830906	548636	1282270
CO1_0_d4	04CNA	PRJNA818876	SAMN26937405	SRX14607455	41811544244	276897644	253804708	83070654	170734054
CO2_0_d4	04CNB	PRJNA818876	SAMN26937406	SRX14607456	17169286786	113703886	106398120	34478312	71919808
CO1_CO1_d4	04CYA	PRJNA818876	SAMN26937407	SRX14607457	10042948392	131455392	122674750	31177108	91497642
CO2_CO2_d4	04CYB	PRJNA818876	SAMN26937408	SRX14607458	9748258906	64558006	61007084	19025474	41981610
CO3_CO3_d4	04CYC	PRJNA818876	SAMN26937409	SRX14607438	8718749362	57740062	54796042	16479308	38316734
A_01_d45	45ANA	PRJNA818876	SAMN26937410	SRX14607439	11712593142	77566842	73715918	25085900	48630018
A_02_d45	45ANB	PRJNA818876	SAMN26937411	SRX14607440	23168889152	153436352	144549600	48253100	96296500
A_03_d45	45ANC	PRJNA818876	SAMN26937412	SRX14607441	26915902510	178251010	166751794	54404334	112347460
A1_CO1_d45	45AYA	PRJNA818876	SAMN26937413	SRX14607442	28613854324	189495724	178086330	62683548	115402782
A_CO2_d45	45AYB	PRJNA818876	SAMN26937414	SRX14607443	35608250126	235816226	216507204	68843746	147663458
A_CO3_d45	45AYC	PRJNA818876	SAMN26937415	SRX14607444	34682891624	229688024	210196536	68779108	141417428
CO1_0_d45	45CNA	PRJNA818876	SAMN26937416	SRX14607445	19602473002	129817702	122686340	43375048	79311292
CO2_0_d45	45CNB	PRJNA818876	SAMN26937417	SRX14607446	26088138026	172769126	160691320	48537704	112153616
CO3_0_d45	45CNC	PRJNA818876	SAMN26937418	SRX14607447	32271059224	213715624	197377250	65251052	132126198
CO1_CO1_d45	45CYA	PRJNA818876	SAMN26937419	SRX14607449	28286399952	187327152	171409282	55053922	116355360
CO2_CO2_d45	45CYB	PRJNA818876	SAMN26937420	SRX14607450	25571570952	169348152	161104094	54668582	106435512
CO3_CO3_d45	45CYC	PRJNA818876	SAMN26937421	SRX14607451	19166286248	126929048	120175996	44852778	75323218
