sample	pseudomonas_hist	predation	replicate	days	summary_factor
A1_CO1_d4	ancestral	yes	a	4	ANC_predation
A2_CO2_d4	ancestral	yes	b	4	ANC_predation
A3_CO3_d4	ancestral	yes	c	4	ANC_predation
A_01_d4	ancestral	no	a	4	ANC
A_02_d4	ancestral	no	b	4	ANC
A_03_d4	ancestral	no	c	4	ANC
CO1_CO1_d4	coevolved	yes	a	4	EVO_predation
CO2_CO2_d4	coevolved	yes	b	4	EVO_predation
CO3_CO3_d4	coevolved	yes	c	4	EVO_predation
CO1_0_d4	coevolved	no	a	4	EVO
CO2_0_d4	coevolved	no	b	4	EVO
A1_CO1_d45	ancestral	yes	a	45	ANC_predation
A_CO2_d45	ancestral	yes	b	45	ANC_predation
A_CO3_d45	ancestral	yes	c	45	ANC_predation
A_01_d45	ancestral	no	a	45	ANC
A_02_d45	ancestral	no	b	45	ANC
A_03_d45	ancestral	no	c	45	ANC
CO1_CO1_d45	coevolved	yes	a	45	EVO_predation
CO2_CO2_d45	coevolved	yes	b	45	EVO_predation
CO3_CO3_d45	coevolved	yes	c	45	EVO_predation
CO1_0_d45	coevolved	no	a	45	EVO
CO2_0_d45	coevolved	no	b	45	EVO
CO3_0_d45	coevolved	no	c	45	EVO
