sample	Passed Filter	Low Quality	Too Many N	Too short
04AYA	18141904	0	0	0
45AYA	62683548	0	0	0
04CYA	21287628	0	0	0
04AYC	548636	0	0	0
04ANA	74310002	0	0	0
45ANA	25085900	0	0	0
04ANB	69910578	0	0	0
45ANB	48253100	0	0	0
04ANC	73473594	0	0	0
45ANC	54404334	0	0	0
45AYB	68843746	0	0	0
45AYC	68779108	0	0	0
04CNA	83070654	0	0	0
45CNA	43375048	0	0	0
04AYB	31177108	0	0	0
45CYA	55053922	0	0	0
04CNB	34478312	0	0	0
45CNB	48537704	0	0	0
04CYB	19025474	0	0	0
45CYB	54668582	0	0	0
45CNC	65251052	0	0	0
04CYC	16479308	0	0	0
45CYC	44852778	0	0	0
