Geneid	entrez_gene	genomic_acc	start_pos	end_pos	strand	gene_symbol	transcript_acc	description
gene0	24442718	NW_002477075.1	727	1070	-	TTHERM_002653498	XM_012795117.1	YgbB family protein
gene1	24442612	NW_002477073.1	607	1650	+	TTHERM_002653392	XM_012795118.1	DDE family endonuclease
gene2	24442634	NW_002477068.1	585	924	-	TTHERM_002653414	XM_012795119.1	zinc finger, LSD1 subclass family protein, putative
gene3	24442608	NW_002477067.1	903	1119	+	TTHERM_002653388	XM_012795120.1	zinc finger, lsd1 subclass family protein, putative
gene4	7901760	NW_002477066.1	11	799	-	TTHERM_02266850	XM_001028602.1	cation channel family protein
gene5	7901724	NW_002477065.1	704	1226	+	TTHERM_02125600	XM_001028765.2	hypothetical protein
gene6	7901780	NW_002477064.1	903	1244	-	TTHERM_02255850	XM_001028613.1	hypothetical protein
gene7	7901745	NW_002477063.1	156	617	-	TTHERM_02442130	XM_001028402.2	hypothetical protein
gene8	7901721	NW_002477062.1	194	1195	-	TTHERM_02290890	XM_001028574.1	leishmanolysin family protein
gene9	24442545	NW_002477060.1	15	1165	+	TTHERM_002653325	XM_012795121.1	zinc finger lsd1 subclass family protein
gene10	24442710	NW_002477059.1	236	565	+	TTHERM_002653490	XM_012795122.1	translation initiation factor eIF-5A family protein, putative
gene11	24442615	NW_002477057.1	728	1164	+	TTHERM_002653395	XM_012795123.1	hypothetical protein
gene12	7901708	NW_002477055.1	138	1025	-	TTHERM_02471150	XM_001028370.2	MAC/perforin domain protein
gene13	7901776	NW_002477054.1	54	308	-	TTHERM_02650290	XM_001028180.2	kinase domain protein
gene14	7901754	NW_002477052.1	142	509	+	TTHERM_02199750	XM_001028679.1	s49 (protease IV) family peptidase
gene15	7901715	NW_002477051.1	37	1126	-	TTHERM_02385080	XM_001028463.2	hypothetical protein
gene16	24442544	NW_002477049.1	480	674	-	TTHERM_002653324	XM_012795124.1	acetyl-coenzyme A transporter 1
gene17	7901739	NW_002477048.1	151	1006	-	TTHERM_02566220	XM_001028270.2	surface protein with EGF domain and furin-like repeat protein
gene18	7901769	NW_002477046.1	177	506	+	TTHERM_02398090	XM_001028447.1	hypothetical protein
gene19	7901737	NW_002477043.1	12	269	-	TTHERM_02222810	XM_001028649.1	hypothetical protein
gene20	24442697	NW_002477042.1	257	726	+	TTHERM_002653477	XM_012795125.1	hypothetical protein
gene21	7901701	NW_002477040.1	409	999	-	TTHERM_02611240	XM_001028221.3	hypothetical protein
gene22	7901758	NW_002477039.1	802	1112	-	TTHERM_02653301	XM_001471442.1	Cyp-like protein, putative
gene23	7901723	NW_002477038.1	244	1071	+	TTHERM_02242830	XM_001028628.1	small GTP-binding domain protein
gene24	24442681	NW_002477037.1	203	828	+	TTHERM_002653461	XM_012795126.1	REJ domain protein
gene25	24442569	NW_002477035.1	481	973	-	TTHERM_002653349	XM_012795127.1	hypothetical protein
gene26	7901756	NW_002477034.1	120	985	-	TTHERM_02563200	XM_001028272.2	phosphoesterase family protein
gene27	24442631	NW_002477031.1	606	1048	-	TTHERM_002653411	XM_012795128.1	hypothetical protein
gene28	7901752	NW_002477029.1	895	1053	+	TTHERM_02053520	XM_001028845.2	hypothetical protein
gene29	24442746	NW_002477027.1	84	856	-	TTHERM_002653526	XM_012795129.1	translation initiation factor eIF-5A family protein
gene30	24442677	NW_002477026.1	218	743	-	TTHERM_002653457	XM_012795130.1	translation initiation factor eIF-5A family protein
gene31	7901786	NW_002477024.1	198	762	+	TTHERM_02562200	XM_001028275.2	hypothetical protein
gene32	7901751	NW_002477022.1	201	786	+	TTHERM_02410110	XM_001028434.2	tetratricopeptide repeat protein
gene33	24442554	NW_002477021.1	490	828	-	TTHERM_002653334	XM_012795131.1	hypothetical protein
gene34	7901785	NW_002477020.1	236	1021	-	TTHERM_02477160	XM_001028361.2	hypothetical protein
gene35	7901746	NW_002477019.1	749	1016	-	TTHERM_02214810	XM_001028657.2	hypothetical protein
gene36	7901713	NW_002477018.1	338	631	+	TTHERM_02599230	XM_001028236.1	appr-1-P processing enzyme family protein
gene37	24442529	NW_002477017.1	192	578	-	TTHERM_002320959	XM_012795132.1	hypothetical protein
gene38	7901735	NW_002477017.1	808	1170	+	TTHERM_02320960	XM_001028538.1	hypothetical protein
gene39	7901710	NW_002477014.1	375	875	+	TTHERM_02522180	XM_001028317.2	kinase domain protein
gene40	24442661	NW_002477013.1	250	432	+	TTHERM_002653441	XM_012795133.1	hypothetical protein
gene41	7901767	NW_002477012.1	16	901	-	TTHERM_02609240	XM_001028224.2	D-mannose-binding lectin
gene42	24442684	NW_002477011.1	581	1016	+	TTHERM_002653464	XM_012795134.1	hypothetical protein
gene43	24442703	NW_002477010.1	705	1127	+	TTHERM_002653483	XM_012795135.1	hypothetical protein
gene44	24442740	NW_002477007.1	989	1372	+	TTHERM_002653520	XM_012795136.1	hypothetical protein
gene45	7901699	NW_002477006.1	116	1002	-	TTHERM_02591230	XM_001028243.2	hypothetical protein
gene46	7901755	NW_002477005.1	13	956	+	TTHERM_02422110	XM_001028421.2	translation initiation factor eIF-5A family protein
gene47	7901732	NW_002477004.1	334	843	-	TTHERM_02495170	XM_001028344.1	kinase domain protein
gene48	7901728	NW_002477000.1	26	835	-	TTHERM_02593230	XM_001028242.2	kinase domain protein
gene49	24442642	NW_002476996.1	258	780	-	TTHERM_002653422	XM_012795137.1	translation initiation factor eIF-5A family protein
gene50	24442674	NW_002476994.1	224	865	+	TTHERM_002653454	XM_012795138.1	hypothetical protein
gene51	24442694	NW_002476987.1	360	850	+	TTHERM_002653474	XM_012795139.1	hypothetical protein
gene52	7901748	NW_002476984.1	148	924	-	TTHERM_02444130	XM_001028396.2	hypothetical protein
gene53	7901711	NW_002476983.1	301	930	+	TTHERM_02463150	XM_001028376.2	MAC/perforin domain protein
gene54	7901783	NW_002476982.1	1054	1443	-	TTHERM_02071560	XM_001028823.1	hypothetical protein
gene55	24442721	NW_002476980.1	87	562	+	TTHERM_002653501	XM_012795140.1	transmembrane protein, putative
gene56	24442722	NW_002476980.1	665	931	-	TTHERM_002653502	XM_012795141.1	transmembrane protein, putative
gene57	7901744	NW_002476978.1	56	705	+	TTHERM_02178710	XM_001028701.2	kinase domain protein
gene58	24442536	NW_002476977.1	69	959	-	TTHERM_002653316	XM_012795142.1	kinase domain protein
gene59	7901709	NW_002476975.1	316	1093	-	TTHERM_02285880	XM_001028580.4	transmembrane protein, putative
gene60	24442543	NW_002476972.1	354	858	+	TTHERM_002653323	XM_012795143.1	hypothetical protein
gene61	7901731	NW_002476970.1	472	981	-	TTHERM_02618250	XM_001028214.2	amine-terminal domain guanylate-binding protein, putative
gene62	24442596	NW_002476968.1	169	563	+	TTHERM_002653376	XM_012795144.1	kinase domain protein
gene63	7901707	NW_002476966.1	384	617	+	TTHERM_02416110	XM_001028427.1	hypothetical protein
gene64	7901775	NW_002476964.1	129	907	-	TTHERM_02539180	XM_001028298.1	zinc carboxypeptidase family protein
gene65	24442707	NW_002476962.1	3	948	+	TTHERM_002653487	XM_012795145.1	tetratricopeptide repeat protein
gene66	7901738	NW_002476958.1	171	1282	-	TTHERM_02182710	XM_001028699.2	leishmanolysin family protein
gene67	7901702	NW_002476957.1	197	1272	-	TTHERM_02091560	XM_001028802.2	MFS transporter, putative
gene68	7901763	NW_002476954.1	374	659	-	TTHERM_01915150	XM_001029017.2	hypothetical protein
gene69	24442534	NW_002476952.1	384	870	-	TTHERM_002653314	XM_012795146.1	hypothetical protein
gene70	24442726	NW_002476950.1	352	616	+	TTHERM_002653506	XM_012795147.1	transmembrane protein, putative
